image,age,beard,clothingBottom,colorblind,gender,hair,hat,mustache,race,eyes,clothingTop,glasses,sunglasses
002256_1.jpg,16-30,,notVisible,no,female,brown,,,white,idk,black,TRUE,
002256_1.jpg,16-30,,notVisible,no,female,brown,,,white,idk,black,TRUE,
002256_1.jpg,16-30,,notVisible,no,female,blonde,,,white,idk,black,TRUE,
002257_0.jpg,16-30,,black,no,male,black,,,white,blue,black,TRUE,
002257_0.jpg,31-50,,notVisible,no,male,brown,,,white,brown,gray,TRUE,
002257_0.jpg,16-30,,gray,no,male,black,,,white,idk,gray,TRUE,
002257_1.jpg,16-30,,black,no,female,blonde,,,white,idk,black,TRUE,
002257_1.jpg,31-50,,black,no,female,brown,,,white,brown,black,TRUE,
002257_1.jpg,31-50,,black,no,female,brown,,,white,notVisible,black,TRUE,
009128_0.jpg,31-50,,notVisible,no,female,black,,,white,notVisible,black,,
009128_0.jpg,16-30,,notVisible,no,female,black,,,white,idk,black,,
009128_0.jpg,31-50,,notVisible,no,,brown,,,white,idk,black,TRUE,
007964_5.jpg,31-50,,black,no,male,brown,,,white,idk,blue,,
007964_5.jpg,31-50,,blue,no,male,brown,,,white,notVisible,blue,,
007964_5.jpg,16-30,TRUE,blue,no,male,brown,,,white,idk,blue,,
002318_0.jpg,16-30,,notVisible,no,male,brown,,,white,brown,blue,,
002318_0.jpg,16-30,TRUE,notVisible,no,male,brown,,,white,idk,blue,,
002318_0.jpg,16-30,,notVisible,no,male,brown,,,white,brown,black,,
002318_1.jpg,31-50,TRUE,notVisible,no,male,brown,,TRUE,white,brown,blue,,
002318_1.jpg,31-50,,notVisible,no,male,brown,,,white,brown,blue,,
002318_1.jpg,31-50,,notVisible,no,,brown,,,white,brown,blue,,
007964_4.jpg,16-30,,gray,no,male,brown,,,white,notVisible,gray,,
007964_4.jpg,16-30,,gray,no,male,brown,,,white,idk,blue,,
007964_4.jpg,16-30,,blue,no,male,brown,,,white,notVisible,blue,,
007964_3.jpg,16-30,,brown,no,female,brown,,,idk,brown,black,,
007964_3.jpg,16-30,,red,no,female,brown,,,idk,idk,black,,
007964_3.jpg,16-30,,red,no,female,brown,,,white,idk,brown,,
002344_0.jpg,31-50,,idk,no,male,brown,,,white,idk,black,,
002344_0.jpg,31-50,,notVisible,no,male,brown,,,white,notVisible,black,,
002344_0.jpg,31-50,,notVisible,no,male,brown,,,white,brown,blue,,
002344_1.jpg,16-30,TRUE,notVisible,no,male,brown,,,white,idk,blue,,TRUE
002344_1.jpg,31-50,,blue,no,male,brown,,,white,brown,blue,,TRUE
002344_1.jpg,16-30,TRUE,notVisible,no,male,brown,,,white,idk,blue,,
002346_0.jpg,31-50,,notVisible,no,male,brown,,,white,notVisible,black,,
